mode,epoch,train_loss,val_loss
heavy_no_compression,0,0.18327180174109517,0.0890996383629667
heavy_no_compression,1,0.1682779339528129,0.07843210831176019
heavy_no_compression,2,0.16336391353802648,0.07797002608806473
heavy_no_compression,3,0.15558529453338574,0.07808291074792736
heavy_no_compression,4,0.1502031799289277,0.07671617152332103
heavy_no_compression,5,0.15149268567384402,0.080672027308096
heavy_no_compression,6,0.15110366409460987,0.08635144484527771
heavy_no_compression,7,0.1412337938432427,0.07542571380228094
heavy_no_compression,8,0.14178343580226418,0.07760056928342697
heavy_no_compression,9,0.1416331823474853,0.07341395868259726
heavy_stage1_only,0,0.2018995868873316,0.12966601546962284
heavy_stage1_only,1,0.19000718950699902,0.12468100397042858
heavy_stage1_only,2,0.19309764670132767,0.12771579518335538
heavy_stage1_only,3,0.18531533602896835,0.1224154571378694
heavy_stage1_only,4,0.18028197572989899,0.11831277800561155
heavy_stage1_only,5,0.17632738207239945,0.11788862618138489
heavy_stage1_only,6,0.17915177819918812,0.12113175372981909
heavy_stage1_only,7,0.17071786687174678,0.11657135107201859
heavy_stage1_only,8,0.1730541929453251,0.11572163812454464
heavy_stage1_only,9,0.17042287526928426,0.1145337790033771
heavy_vanilla,0,0.19965322601560323,0.13150342955317312
heavy_vanilla,1,0.18895902820227675,0.12373475614681985
heavy_vanilla,2,0.18891008346345736,0.12524916918821705
heavy_vanilla,3,0.18861514562467288,0.12478340236307348
heavy_vanilla,4,0.18831405627183587,0.12086447910631745
heavy_vanilla,5,0.19006226805669396,0.12352003565835722
heavy_vanilla,6,0.19022371275868746,0.1262486970902068
heavy_vanilla,7,0.17710755676329856,0.11824815742020468
heavy_vanilla,8,0.17615974678007987,0.11577802621623845
heavy_vanilla,9,0.17592301298250923,0.11656920978962218
light_full,0,0.1420491846581561,0.09621286050425572
light_full,1,0.1403040896896421,0.09459195307736258
light_full,2,0.13775661235660408,0.092863856190906
light_full,3,0.13751280205140795,0.092612890074554
light_full,4,0.13648703094665832,0.09223860113438472
light_full,5,0.13556728705975,0.09230687838156247
light_full,6,0.13565758095118688,0.09197335818655861
light_full,7,0.13584503079476423,0.09193227199602474
light_full,8,0.13511785381173247,0.09148778686824355
light_full,9,0.13488909707240815,0.09181449030643528
light_no_comp,0,0.16126580291961742,0.06910997834418295
light_no_comp,1,0.15651830318076437,0.06781205804385607
light_no_comp,2,0.1487658221713717,0.0717559310616654
light_no_comp,3,0.13492391369219597,0.0593313092899337
light_no_comp,4,0.13347648016334537,0.06206145874920835
light_no_comp,5,0.13064745195709604,0.0626563612932285
light_no_comp,6,0.1249273408537829,0.059885828900467425
light_no_comp,7,0.12288743537852931,0.059120317866790645
light_no_comp,8,0.12031918892593757,0.05593359378139371
light_no_comp,9,0.11926268668899379,0.05418370400998488
light_stage1_only,0,0.1474204083941323,0.09831570906257167
light_stage1_only,1,0.14567537680834872,0.09661688695399506
light_stage1_only,2,0.14490074992329244,0.09613837941902355
light_stage1_only,3,0.14482455171394876,0.09567682788644022
light_stage1_only,4,0.14550109287338236,0.0954998870859447
light_stage1_only,5,0.14514136275890127,0.09618720649153863
light_stage1_only,6,0.14409529141285946,0.09542749894475475
light_stage1_only,7,0.1438601721700112,0.09480895102024078
light_stage1_only,8,0.14390283313860253,0.09581587449150178
light_stage1_only,9,0.14213940029918137,0.09526263781398245
