mode,params,final_train_loss,final_val_loss
heavy_no_compression,51091267,0.1416331823474853,0.07341395868259726
heavy_stage1_only,51087873,0.17042287526928426,0.1145337790033771
heavy_vanilla,51091267,0.17592301298250923,0.11656920978962218
light_full,611869,0.13488909707240815,0.09181449030643528
light_no_comp,611869,0.11926268668899379,0.05418370400998488
light_stage1_only,608475,0.14213940029918137,0.09526263781398245
